iter	Logloss
0	0.6873854589
1	0.6840090921
2	0.6784927405
3	0.6725105153
4	0.6693454909
5	0.6634203
6	0.6575093771
7	0.6525688016
8	0.6476117527
9	0.6421465356
10	0.6369256697
11	0.6319869117
12	0.6274974532
13	0.6221104117
14	0.6176450228
15	0.6139549183
16	0.6097198826
17	0.6049417266
18	0.6008811462
19	0.5968926999
20	0.5928479909
21	0.5906939612
22	0.5865174179
23	0.5827257521
24	0.5785038654
25	0.5755146695
26	0.5713915017
27	0.5672752893
28	0.5634243229
29	0.5595646731
30	0.5562170441
31	0.5534405162
32	0.5497743357
33	0.5468142683
34	0.543802057
35	0.5402801925
36	0.5368760679
37	0.534498731
38	0.5317724764
39	0.5288427033
40	0.5262095332
41	0.5240275313
42	0.5208635289
43	0.5183008768
44	0.5154630712
45	0.5129738574
46	0.5104327921
47	0.5077203761
48	0.5056007791
49	0.50308173
50	0.5014192992
51	0.4991970514
52	0.4978493199
53	0.4962986585
54	0.4938867665
55	0.4916356509
56	0.4897253254
57	0.4879106226
58	0.4858618257
59	0.484060459
60	0.4827954014
61	0.4814921806
62	0.4796656647
63	0.4777120805
64	0.4767878465
65	0.4751035708
66	0.473758226
67	0.4716924885
68	0.4700781212
69	0.4686071578
70	0.4671249093
71	0.4653408385
72	0.4637348736
73	0.4619875727
74	0.460411201
75	0.4585605572
76	0.4572350503
77	0.4556723452
78	0.4544192194
79	0.4531276396
80	0.4516772323
81	0.4506492116
82	0.4491021101
83	0.4482811326
84	0.447045678
85	0.4455840749
86	0.4443949217
87	0.4431770092
88	0.4418974679
89	0.4406610326
90	0.4396459839
91	0.4383303387
92	0.4371559492
93	0.4360222488
94	0.4347076701
95	0.4337045821
96	0.4326014945
97	0.4316391174
98	0.4308858439
99	0.4295792881
100	0.429171343
101	0.4280757483
102	0.4273457423
103	0.4266726286
104	0.425770592
105	0.4247708343
106	0.4236498685
107	0.4227883812
108	0.422057943
109	0.4211982551
110	0.4205815629
111	0.419659236
112	0.4189163698
113	0.4180025159
114	0.4172560748
115	0.4164044584
116	0.416108531
117	0.4153591744
118	0.414704612
119	0.4139509812
120	0.4132620862
121	0.4124447925
122	0.4115350285
123	0.4105800052
124	0.4098887895
125	0.4091236226
126	0.4087827857
127	0.4079249581
128	0.4073452305
129	0.4068276681
130	0.4061689906
131	0.4054287027
132	0.4048338231
133	0.4041892401
134	0.4038281315
135	0.4033183909
136	0.4028345392
137	0.4024202339
138	0.4016339661
139	0.4011004126
140	0.4003441245
141	0.4000430913
142	0.3996786279
143	0.3992793627
144	0.3988667551
145	0.3982059637
146	0.3975833328
147	0.397061022
148	0.3964680953
149	0.3960525383
150	0.3956707457
151	0.3951384114
152	0.3950060903
153	0.3945289705
154	0.3941247976
155	0.393485541
156	0.3929408246
157	0.39242004
158	0.3919440268
159	0.391538276
160	0.390977784
161	0.3905076819
162	0.3901533071
163	0.3898566888
164	0.3894244599
165	0.3889671771
166	0.3883715857
167	0.3877749132
168	0.3876754564
169	0.3870891624
170	0.3866534118
171	0.3862476126
172	0.3859035359
173	0.3856547044
174	0.3852673793
175	0.3848772018
176	0.3843772029
177	0.3839269596
178	0.3834375009
179	0.382958542
180	0.3824297186
181	0.3821349344
182	0.3816280951
183	0.3812500082
184	0.3810168544
185	0.3807052359
186	0.3803838166
187	0.3798444067
188	0.3792737384
189	0.3789057589
190	0.3785367398
191	0.378051886
